time,open,high,low,close,volume
5/10/2020,"$8,728.00","$9,141.00","$8,233.00","$8,588.00",$63.59B
5/9/2020,"$9,560.00","$9,560.00","$8,131.00","$8,741.00",$69.01B
5/8/2020,"$9,828.00","$9,897.00","$9,547.00","$9,559.00",$48.51B
5/7/2020,"$9,959.00","$10,022.00","$9,729.00","$9,820.00",$56.85B
5/6/2020,"$9,159.00","$9,998.00","$9,099.00","$9,965.00",$67.22B
5/5/2020,"$9,016.00","$9,363.00","$8,942.00","$9,171.00",$52.26B
5/4/2020,"$8,878.00","$9,084.00","$8,801.00","$9,017.00",$47.29B
5/3/2020,"$8,898.00","$8,944.00","$8,582.00","$8,880.00",$48.11B
5/2/2020,"$8,986.00","$9,179.00","$8,764.00","$8,911.00",$50.06B
5/1/2020,"$8,832.00","$9,011.00","$8,798.00","$8,987.00",$41.14B
4/30/2020,"$8,641.00","$9,030.00","$8,634.00","$8,825.00",$48.02B
4/29/2020,"$8,765.00","$9,387.00","$8,414.00","$8,626.00",$73.61B
4/28/2020,"$7,757.00","$8,889.00","$7,757.00","$8,760.00",$62.86B
4/27/2020,"$7,777.00","$7,781.00","$7,695.00","$7,757.00",$35.88B
4/26/2020,"$7,701.00","$7,781.00","$7,664.00","$7,773.00",$38.89B
4/25/2020,"$7,546.00","$7,695.00","$7,528.00","$7,695.00",$36.36B
4/24/2020,"$7,512.00","$7,680.00","$7,487.00","$7,546.00",$34.80B
4/23/2020,"$7,489.00","$7,592.00","$7,440.00","$7,508.00",$36.90B
4/22/2020,"$7,132.00","$7,686.00","$7,077.00","$7,488.00",$45.73B
4/21/2020,"$6,854.00","$7,171.00","$6,854.00","$7,137.00",$34.84B
4/20/2020,"$6,859.00","$6,951.00","$6,798.00","$6,859.00",$32.65B
4/19/2020,"$7,131.00","$7,170.00","$6,797.00","$6,858.00",$39.87B
4/18/2020,"$7,261.00","$7,261.00","$7,086.00","$7,132.00",$32.04B
4/17/2020,"$7,041.00","$7,289.00","$7,041.00","$7,259.00",$33.55B
4/16/2020,"$7,106.00","$7,139.00","$7,014.00","$7,040.00",$33.21B
4/15/2020,"$6,635.00","$7,189.00","$6,566.00","$7,113.00",$50.24B
4/14/2020,"$6,883.00","$6,929.00","$6,643.00","$6,653.00",$33.73B
4/13/2020,"$6,854.00","$6,964.00","$6,783.00","$6,876.00",$35.10B
4/12/2020,"$6,923.00","$6,926.00","$6,629.00","$6,853.00",$39.85B
4/11/2020,"$6,890.00","$7,159.00","$6,813.00","$6,925.00",$35.90B
4/10/2020,"$6,869.00","$6,942.00","$6,798.00","$6,890.00",$31.99B
4/9/2020,"$7,293.00","$7,293.00","$6,782.00","$6,869.00",$44.18B
4/8/2020,"$7,366.00","$7,366.00","$7,147.00","$7,287.00",$36.50B
4/7/2020,"$7,212.00","$7,424.00","$7,197.00","$7,367.00",$41.12B
4/6/2020,"$7,331.00","$7,408.00","$7,096.00","$7,201.00",$45.65B
4/5/2020,"$6,786.00","$7,349.00","$6,786.00","$7,331.00",$52.07B
4/4/2020,"$6,866.00","$6,902.00","$6,714.00","$6,790.00",$31.67B
4/3/2020,"$6,744.00","$6,983.00","$6,685.00","$6,865.00",$33.77B
4/2/2020,"$6,803.00","$7,048.00","$6,644.00","$6,750.00",$44.83B
4/1/2020,"$6,642.00","$7,178.00","$6,568.00","$6,805.00",$51.04B
3/31/2020,"$6,430.00","$6,675.00","$6,213.00","$6,642.00",$41.56B
3/30/2020,"$6,406.00","$6,531.00","$6,361.00","$6,429.00",$33.59B
3/29/2020,"$5,907.00","$6,591.00","$5,907.00","$6,417.00",$39.48B
3/28/2020,"$6,256.00","$6,256.00","$5,900.00","$5,910.00",$28.69B
3/27/2020,"$6,392.00","$6,392.00","$6,075.00","$6,256.00",$35.92B
3/26/2020,"$6,753.00","$6,812.00","$6,316.00","$6,389.00",$35.38B
3/25/2020,"$6,688.00","$6,783.00","$6,555.00","$6,734.00",$37.03B
3/24/2020,"$6,755.00","$6,939.00","$6,479.00","$6,680.00",$45.47B
3/23/2020,"$6,477.00","$6,831.00","$6,399.00","$6,750.00",$50.15B
3/22/2020,"$5,842.00","$6,610.00","$5,752.00","$6,473.00",$49.37B
3/21/2020,"$6,207.00","$6,377.00","$5,775.00","$5,849.00",$39.96B
3/20/2020,"$6,245.00","$6,466.00","$5,902.00","$6,208.00",$44.02B
3/19/2020,"$6,178.00","$6,866.00","$5,731.00","$6,230.00",$55.77B
3/18/2020,"$5,417.00","$6,403.00","$5,343.00","$6,196.00",$55.65B
3/17/2020,"$5,336.00","$5,473.00","$5,067.00","$5,422.00",$43.16B
3/16/2020,"$5,050.00","$5,535.00","$4,964.00","$5,341.00",$40.87B
3/15/2020,"$5,361.00","$5,370.00","$4,498.00","$5,051.00",$49.24B
3/14/2020,"$5,213.00","$5,895.00","$5,140.00","$5,370.00",$39.60B
3/13/2020,"$5,603.00","$5,647.00","$5,097.00","$5,228.00",$44.54B
3/12/2020,"$4,921.00","$6,027.00","$4,093.00","$5,679.00",$86.52B
3/11/2020,"$7,928.00","$7,928.00","$4,597.00","$4,891.00",$55.07B
3/10/2020,"$7,897.00","$7,974.00","$7,668.00","$7,933.00",$39.96B
3/9/2020,"$7,931.00","$8,124.00","$7,768.00","$7,890.00",$41.22B
3/8/2020,"$8,068.00","$8,165.00","$7,719.00","$7,948.00",$50.69B
3/7/2020,"$8,908.00","$8,908.00","$8,103.00","$8,120.00",$41.48B
3/6/2020,"$9,155.00","$9,155.00","$8,902.00","$8,918.00",$36.23B
3/5/2020,"$9,069.00","$9,178.00","$9,069.00","$9,148.00",$43.97B
3/4/2020,"$8,762.00","$9,116.00","$8,762.00","$9,066.00",$41.73B
3/3/2020,"$8,777.00","$8,822.00","$8,740.00","$8,770.00",$42.04B
3/2/2020,"$8,921.00","$8,921.00","$8,699.00","$8,770.00",$71.95B
3/1/2020,"$8,535.00","$8,936.00","$8,535.00","$8,906.00",$63.05B
2/29/2020,"$8,547.00","$8,688.00","$8,468.00","$8,539.00",$37.20B
2/28/2020,"$8,712.00","$8,712.00","$8,548.00","$8,550.00",$37.74B
2/27/2020,"$8,821.00","$8,880.00","$8,532.00","$8,708.00",$45.78B
2/26/2020,"$8,803.00","$8,901.00","$8,636.00","$8,807.00",$48.89B
2/25/2020,"$9,319.00","$9,319.00","$8,718.00","$8,800.00",$51.46B
2/24/2020,"$9,664.00","$9,664.00","$9,273.00","$9,317.00",$44.33B
2/23/2020,"$9,959.00","$9,959.00","$9,546.00","$9,667.00",$45.07B
2/22/2020,"$9,666.00","$9,993.00","$9,666.00","$9,962.00",$39.86B
2/21/2020,"$9,694.00","$9,694.00","$9,623.00","$9,669.00",$31.82B
2/20/2020,"$9,610.00","$9,723.00","$9,610.00","$9,688.00",$38.14B
2/19/2020,"$9,637.00","$9,680.00","$9,513.00","$9,616.00",$46.02B
2/18/2020,"$10,167.00","$10,167.00","$9,443.00","$9,636.00",$43.60B
2/17/2020,"$9,717.00","$10,202.00","$9,717.00","$10,175.00",$48.96B
2/16/2020,"$9,923.00","$9,923.00","$9,710.00","$9,716.00",$48.36B
2/15/2020,"$9,915.00","$9,928.00","$9,859.00","$9,924.00",$43.17B
